dataset_name,instances_no,missing_count_in_target,sampling_rate,stationary_no,non_stationary_no,first_diff_stationary_no,second_diff_stationary_no,target_skewness,target_kurtosis,lags_no,insignificant_lags_no,seasonality_components_no,fractal_dim,series_type,trend_type,pacf_01,pacf_02,pacf_03,pacf_04,pacf_05,pacf_06,pacf_07,pacf_08,pacf_09,pacf_10,percentile_0_min,percentile_0_max,percentile_0_mean,percentile_0_median,percentile_0_std,percentile_1_min,percentile_1_max,percentile_1_mean,percentile_1_median,percentile_1_std,percentile_2_min,percentile_2_max,percentile_2_mean,percentile_2_median,percentile_2_std,percentile_3_min,percentile_3_max,percentile_3_mean,percentile_3_median,percentile_3_std,percentile_4_min,percentile_4_max,percentile_4_mean,percentile_4_median,percentile_4_std,percentile_5_min,percentile_5_max,percentile_5_mean,percentile_5_median,percentile_5_std,percentile_6_min,percentile_6_max,percentile_6_mean,percentile_6_median,percentile_6_std,percentile_7_min,percentile_7_max,percentile_7_mean,percentile_7_median,percentile_7_std,percentile_8_min,percentile_8_max,percentile_8_mean,percentile_8_median,percentile_8_std,percentile_9_min,percentile_9_max,percentile_9_mean,percentile_9_median,percentile_9_std
1.csv,17281,864,10,1,0,0,0,1.128840317,1.128840317,28,3,1,-0.982233686,multiplicative,linear,0.795710024,0.435291328,0.306166162,0.20995834,0.177696258,0.157924922,0.135352786,0.103929787,0.097345108,0.078494126,0.010727065,0.876919574,0.167384468,0.152394072,0.10239991,0.01499157,0.881756279,0.221505004,0.212214457,0.105166492,0.020646952,0.852900464,0.283517092,0.287794086,0.117960229,0.026988937,0.873402295,0.299256819,0.278355606,0.143751181,0.023756463,0.880342808,0.34565688,0.337040108,0.169441367,0.042737938,0.88043491,0.450273969,0.507848772,0.183854735,0.049053021,0.887869456,0.463383671,0.464450574,0.248240039,0.01886438,1,0.394272265,0.309515186,0.277608935,0.009145449,0.877339037,0.14659192,0.132293088,0.09836088,0,0.873636378,0.146996193,0.129501768,0.107253341
2.csv,7921,396,60,1,0,0,0,1.780452407,1.780452407,15,1,0,-0.940264187,multiplicative,linear,0.752064693,0.410538021,0.277626998,0.187486975,0.151592553,0.131109599,0.087376056,0.100485027,0.063941536,0.059054751,0,0.886284262,0.156615918,0.140657497,0.110741527,0.021744817,0.917873524,0.170626503,0.157040778,0.097113046,0.021617828,0.902098252,0.186786534,0.17178524,0.103965125,0.001807053,0.911645955,0.145423304,0.128662264,0.106911587,0.004882157,0.916535961,0.145239109,0.127353921,0.103440073,0.023746411,0.881632891,0.191646805,0.156629108,0.115433441,0.044087494,0.915356348,0.276642918,0.276089827,0.131372254,0.046238344,0.91821968,0.286272203,0.282552934,0.133133397,0.049094087,0.886990852,0.418554737,0.374376161,0.226440915,0.038646414,1,0.522862066,0.51598493,0.269508275
3.csv,271,13,480,0,1,1,0,0.916251537,0.916251537,17,6,1,-0.589489459,multiplicative,logistic,0.711124866,0.290209126,0.095621068,-0.115475881,-0.277632835,-0.13525841,-0.047463022,-0.017863978,-0.147594923,0.195589718,0,0.920253374,0.492828693,0.396418585,0.300846349,0.183069838,1,0.639019543,0.721622083,0.275188295,0.205866514,0.957629785,0.574302137,0.559182221,0.249105187,0.257038326,0.957073389,0.608853331,0.582708193,0.217696599,0.156114837,0.992692753,0.684978388,0.681732405,0.208375092,0.373187853,0.958724696,0.706251102,0.716384313,0.157328044,0.580684097,0.964048221,0.752675957,0.708375101,0.123695389,0.72039572,0.970846115,0.8309512,0.824939897,0.076192844,0.767522236,0.995403888,0.87663948,0.874913187,0.055878858,0.279800028,0.996373107,0.887207829,0.909522562,0.130772626
4.csv,12961,648,10,1,0,0,0,0.856973848,0.856973848,20,1,1,-0.977115627,multiplicative,linear,0.824071321,0.444952485,0.291891617,0.236020678,0.173146965,0.139609941,0.118089828,0.103897205,0.082270529,0.071372013,0,0.922220173,0.470840311,0.467268746,0.256894318,0.066214288,0.951365721,0.569717432,0.659315526,0.262100904,0.121347121,0.94822042,0.522967689,0.532960193,0.214024898,0.10947603,0.947977497,0.547295035,0.500688538,0.192736248,0.133519052,0.947074083,0.66163639,0.703728071,0.166335544,0.101309998,0.949968607,0.681810842,0.691631063,0.146709638,0.108204524,0.960542262,0.675982476,0.641935119,0.131453982,0.102334307,0.951553305,0.746598721,0.753138337,0.108436374,0.099996533,1,0.798086755,0.811059691,0.102371953,0.095837923,0.976220662,0.818121267,0.837705851,0.110731243
5.csv,2881,144,30,1,0,0,0,0.920922761,0.920922761,12,1,1,-0.926990238,multiplicative,linear,0.839576737,0.426726088,0.267889083,0.226980416,0.172161265,0.097229845,0.069823345,0.075219461,0.062594267,0.043312936,0.038639123,0.832180483,0.137783073,0.125817193,0.084817848,0.036697236,0.85358836,0.179894359,0.166241269,0.116076128,0.015847539,0.883541837,0.221150732,0.224202671,0.111182438,0.044109391,0.872147076,0.283575466,0.312406656,0.116378332,0.06930446,0.868077887,0.343708166,0.382864681,0.136089023,0.035856018,0.736146617,0.375543225,0.465386801,0.190400794,0.048698844,0.879391515,0.394551447,0.378325756,0.23005274,0.024703168,0.82702993,0.389396565,0.42314315,0.215114808,0.041412295,0.895737226,0.429640098,0.489828054,0.240350583,0,1,0.501776759,0.37920752,0.304559459
6.csv,901,45,480,0,1,1,0,1.355244131,1.355244131,7,0,1,-0.677308966,multiplicative,logistic,0.769706642,0.27463762,0.203705092,-0.115177547,-0.173661673,-0.125062749,-0.047508803,0.006019345,-0.057951946,0.218641569,0,0.906814786,0.441356125,0.443284273,0.281009186,0.064552607,0.867794772,0.487754467,0.492687505,0.245366947,0.183323816,0.879476136,0.521416182,0.521568453,0.231233495,0.116087227,1,0.813722,0.851165155,0.155185377,0.209104509,0.939652853,0.84027405,0.85592945,0.104683127,0.180877093,0.955171026,0.838974244,0.856033338,0.096149398,0.108554055,0.923032291,0.703129143,0.731948754,0.156431123,0.082818167,0.971060259,0.728741325,0.743206042,0.134566948,0.277878201,0.951714773,0.796324548,0.803179925,0.091407122,0.690658257,0.986493231,0.820852444,0.820086029,0.053498635
7.csv,241,12,360,0,1,1,0,0.883878083,0.883878083,8,1,1,-0.660832424,multiplicative,logistic,0.769121122,0.298412131,0.131877288,0.073973697,-0.158571501,-0.260879413,-0.21331073,-0.164657796,-0.007538113,0.022371358,0.00957694,0.294437185,0.118546005,0.112346251,0.067099087,0.050084574,0.271837592,0.148338633,0.139388301,0.06769417,0.045046385,0.958505328,0.233356141,0.249852427,0.1833653,0.062606378,0.432066182,0.285200759,0.326260955,0.121316627,0.048843188,0.883864419,0.374290116,0.42231614,0.187738845,0.058498855,0.65684148,0.379299128,0.360127064,0.211315482,0.028637386,0.756490966,0.409930388,0.421910218,0.247895335,0,0.902457135,0.4050253,0.388519843,0.271379471,0.118232279,0.920073216,0.454769757,0.524826948,0.267415147,0.021282336,1,0.563190631,0.708234133,0.348996587
8.csv,15841,792,30,1,0,0,0,1.375398592,1.375398592,19,2,3,-0.975389909,multiplicative,linear,0.791006341,0.432925215,0.295959281,0.221876794,0.153375587,0.124816504,0.091868424,0.102952427,0.06591721,0.065032905,0,0.961710622,0.502111496,0.493582229,0.270557032,0.086250073,0.986208807,0.511786527,0.519040656,0.252231759,0.083556715,0.978286158,0.608340669,0.659137343,0.238627575,0.076764788,1,0.85151441,0.870935797,0.109428497,0.088274348,0.992966596,0.854834257,0.870602337,0.10178158,0.103616234,0.98801817,0.783667,0.843851975,0.146691924,0.083121788,0.987280752,0.719403133,0.724885092,0.125995299,0.088578161,0.98697187,0.759436276,0.770292183,0.109737767,0.076576082,0.972856132,0.758817122,0.768795038,0.118314145,0.07983261,0.982529299,0.814201928,0.828783943,0.101793091
9.csv,34561,1728,10,1,0,0,0,1.676740879,1.676740879,29,0,48,-0.996729176,multiplicative,linear,0.76590713,0.440442905,0.299040731,0.226601289,0.18470442,0.141656242,0.122781636,0.123347684,0.10094121,0.085710284,0.046662681,0.910512447,0.203798107,0.188016773,0.100802494,0.035648293,0.902124089,0.238666314,0.227776273,0.098651179,0.050082678,0.917943619,0.280611413,0.276982706,0.107220782,0.056941239,0.91424548,0.294117557,0.27697532,0.130032795,0,0.910411607,0.181973636,0.16730782,0.094516351,0.025421177,0.916146329,0.184957917,0.168237507,0.103688721,0.040594642,0.918636091,0.183452301,0.167420692,0.098032941,0.033320648,0.909003664,0.268824107,0.185492224,0.195579268,0.050442761,0.906925406,0.492101019,0.493208614,0.22885493,0.066814332,1,0.544810469,0.53410994,0.256255151
10.csv,361,18,360,0,1,1,0,0.938876258,0.938876258,7,2,1,-0.593855199,multiplicative,logistic,0.834302943,0.318526729,0.041817521,0.012186385,-0.258937869,-0.269395209,-0.183011218,-0.161503693,0.091385341,-0.081026768,0,0.722242121,0.147401166,0.124273432,0.132942738,0.039166465,0.246831044,0.152688201,0.164725079,0.060046421,0.017658862,0.369801554,0.211178289,0.219447925,0.09965874,0.092759826,0.811244719,0.28248182,0.266994066,0.144015569,0.039023933,0.515090694,0.250736532,0.233834722,0.157745081,0.048196715,0.852341309,0.336395331,0.317895417,0.193192765,0.056404182,0.731911277,0.41309198,0.411697487,0.227388045,0.040868706,0.817509063,0.431538349,0.431756881,0.251212056,0.067711197,0.920099851,0.446265941,0.468907488,0.298586038,0.041443372,1,0.569523245,0.548030566,0.291474789
